id,title,description,duration,difficulty,learning_path_id
72,Options Trading Introduction: Day Trade Stock Options,Learn the concept of nextjs,2.5,Beginner,15
73,The Almost Perfect Options Trading Strategy System - Unique,Learn the ETL process effectively,1,Beginner,8
74,Forex Trading -  Learn to Trade Forex Like the Banks,Learn the concepts of DataBricks,1,Beginner,1
75,Learn to Trade for Profit:Trading with Japanese Candlesticks,Learn the process of data Transformation through dbt,3,Beginner,5
76,The Most Powerful Options Spread Trading Front Ratio Spread,Learn python for data engineering,2,Beginner,8
77,What Finance Job is for You? Explanation of 14 Finance Roles,Learn statistics,4,Beginner,1
78,The Blueprint for Successful Stock Trading,Learn the basics of Node.js,1,Beginner,17
79,Trading for Beginners - Intermediate Level,Learn the fundamentals of JavaScript programming.,5,Beginner,4
80,Start Trading Stocks Using Technical Analysis!,Explore advanced CSS for modern web design.,4,Beginner,5
81,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,"Learn the basics of html
",1.5,Advanced,4
82,VPS for Forex Trading - Protect Your Forex Robots,Learn basics of react,2,Beginner,2
83,Introduction to Accounting: The Language of Business,Learn the concept of nextjs,11.5,Beginner,15
84,Basic Excel for Basic Bookkeeping and Accounting,Learn the ETL process effectively,1.5,Beginner,12
85,"Using 'The Greeks To Understand Options""",Learn the concepts of DataBricks,1,Beginner,1
86,Trading Options For Consistent Returns: Calendar Spreads,Learn the process of data Transformation through dbt,1.5,Beginner,11
87,How to Create Your Personal Budget,Learn python for data engineering,1,Beginner,3
88,The Complete Value Investing Course: A Proven Approach,Learn statistics,4.5,Beginner,6
89,FOREX Trading with Price Action,Learn the basics of Node.js,1,Beginner,3
90,Emini ES Futures - Advanced Non Directional Options Trading,Learn the fundamentals of JavaScript programming.,1.5,Beginner,7
91,Forex Trading - Advanced Fundamental Analysis,Explore advanced CSS for modern web design.,2.5,Intermediate,20
92,How To Invest With Tiny Capital In Stocks ?,"Learn the basics of html
",0.7,Beginner,17
93,Learn How To Successfully Trade Stocks: In 5 Simple Steps,Learn basics of react,9.5,Beginner,12
94,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Learn the concept of nextjs,5,Beginner,14
95,Intermediate Options trading concepts for Stocks and Options,Learn the ETL process effectively,1,Beginner,13
96,Options Trading 101: The Basics,Learn the concepts of DataBricks,0.55,Beginner,17
97,Practical Accounts APP Overview,Learn the process of data Transformation through dbt,3,Intermediate,5
98,Bitcoin Profits for Beginners,Learn python for data engineering,1.5,Beginner,16
99,Trend Traders Club: How To Find And Trade Fast Moving Trends,Learn statistics,5.5,Beginner,19
100,Financial Statements Basics,Learn the basics of Node.js,2,Beginner,9
101,High performance Stock Trading using key Options techniques,Learn the fundamentals of JavaScript programming.,1.5,Beginner,4
102,Introduction to Financial Statement Analysis,Explore advanced CSS for modern web design.,1.5,Beginner,1
103,Basics of Economics (College Level),"Learn the basics of html
",1.5,Beginner,5
104,Stock Market Investing for Beginners,Learn basics of react,1.5,Beginner,4
105,Accounting for Beginners : Learn Basics in under 1 Hour,Learn the concept of nextjs,1.5,Beginner,3
106,Straddle Options Trading - Profit in Any Market Direction,Learn the ETL process effectively,1,Beginner,3
107,Fundamentals of Forex Trading,Learn the concepts of DataBricks,1,Beginner,2
108,"Binary Options: Trading Strategies, 90% Accuracy and Signals",Learn the process of data Transformation through dbt,1,Beginner,4
109,Website Investing 101 - Buying & Selling Online Businesses,Learn python for data engineering,2,Beginner,10
110,Practical Accounts & Bookkeeping Automated Overview ,Learn statistics,4.5,Beginner,17
111,Live Account - ETF Trading System - Hacking The Stock Market,Learn the basics of Node.js,5,Beginner,3
112,Stock Market Leverage: How to Start Trading Options Wisely,Learn the fundamentals of JavaScript programming.,1.5,Beginner,4
113,Stock Market Foundations,Explore advanced CSS for modern web design.,2,Beginner,3
114,Crash Course on Working Capital Management,"Learn the basics of html
",1,Beginner,9
115,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,Learn basics of react,62,Beginner,18
116,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,Learn the concept of nextjs,1.5,Beginner,4
117,How to create a routine Trading,Learn the ETL process effectively,0.133333333,Beginner,5
118,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",Learn the concepts of DataBricks,0.683333333,Beginner,1
119,Forex SOS Course: Trading Tweaks And Working Forex Strategy,Learn the process of data Transformation through dbt,2.5,Beginner,11
120,Introduction to Financial Modeling,Learn python for data engineering,1.5,Intermediate,19
121,Quantitative Aptitude for Banking & Competitive Examinations,Learn statistics,3,Beginner,15
122,Option Spreads and Credit Spreads Bundle,Learn the basics of Node.js,4.5,Advanced,10
123,B Com Accountancy I (Paper ECO 02 IGNOU),Learn the fundamentals of JavaScript programming.,31.5,Beginner,16
124,FOREX TRADING - Learn in a quick + profitable way + support,Explore advanced CSS for modern web design.,3.5,Beginner,19
125,Auditing Basics (Professional Course Level),"Learn the basics of html
",2.5,Beginner,13
126,Stock market Investing Encyclopedia: How to invest in stocks,Learn basics of react,3,Intermediate,3
127,Learn the basics of preparing accounting statements,Learn the concept of nextjs,0.55,Intermediate,12
128,Elliott Wave -Forex Trading With The Elliott Wave Theory,Learn the ETL process effectively,1,Advanced,16
129,Corporate Finance - A Brief Introduction,Learn the concepts of DataBricks,1.5,Beginner,2
130,Excel functions to analyze and visualize data,Learn the process of data Transformation through dbt,2,Intermediate,3
131,Building Financial Statements in Excel,Learn python for data engineering,1,Beginner,9
132,Transfer Pricing A Complete Analysis,Learn statistics,2.5,Beginner,14
133,Accounting: Get Hired Without Work Experience,Learn the basics of Node.js,1,Beginner,3
134,Forex Trading for Beginners - Basics,Learn the fundamentals of JavaScript programming.,1,Beginner,10
135,Basic Bookkeeping Hacks,Explore advanced CSS for modern web design.,1.5,Beginner,5
136,Complete Trading Plan Course for Stocks & Forex (10 Hours),"Learn the basics of html
",9.5,Beginner,10
137,"Forex Trading with Fixed 'Risk through Options Trading""",Learn basics of react,1,Beginner,4
138,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",Learn the concept of nextjs,20,Beginner,5
139,How to Pick The Right Penny Stocks To Invest In 2017,Learn the ETL process effectively,2.5,Beginner,4
140,Top 10 Trading Ideas in the Equities Market,Learn the concepts of DataBricks,1,Beginner,4
141,Intro to Financial Modeling,Learn the process of data Transformation through dbt,6,Beginner,3
142,Shark Accounting - Building a Business by the Numbers!,Learn python for data engineering,1.5,Beginner,4
143,Forex Trading MAKE YOUR FIRST TRADE TODAY!,Learn statistics,4,Beginner,13
144,Accounting in 60 Minutes - A Brief Introduction,Learn the basics of Node.js,1.5,Beginner,12
145,SAP FICO For Beginners - A Guide to SAP Financial Accounts,Learn the fundamentals of JavaScript programming.,5,Beginner,4
146,Learn how to double your Forex Trading Account in one trade,Explore advanced CSS for modern web design.,2.5,Intermediate,4
147,"Accounting Superpowers: Learn Accounts, Understand Business!","Learn the basics of html
",2.5,Beginner,10
148,Python Algo Trading: FX Trading with Oanda,Learn basics of react,3,Intermediate,4
149,Save on Your Taxes,Learn the concept of nextjs,1.5,Beginner,18
150,Financial Model Basics: Build a model from start to finish,Learn the ETL process effectively,1,Beginner,6
151,Option Trading for Rookies: The Covered Call Option Strategy,Learn the concepts of DataBricks,1.5,Beginner,15
152,EFT for Stock Options Trading Success & Making Better Trades,Learn the process of data Transformation through dbt,1.5,Beginner,18
153,Learn to Trade the Stock Market without Blowing Your Profits,Learn python for data engineering,1,Beginner,17
154,Get a Credit Repair Publication On Amazon and Live LIFE..,Learn statistics,3,Beginner,15
155,Fundamentals of Accounting,Learn the basics of Node.js,3,Beginner,17
156,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",Learn the fundamentals of JavaScript programming.,3.5,Beginner,19
157,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,Explore advanced CSS for modern web design.,1,Intermediate,6
158,Accounting 101: How to read an Accounting Balance Sheet,"Learn the basics of html
",2,Beginner,12
159,Stock Options Day Trading Mindset for Success,Learn basics of react,4.5,Beginner,14
160,Introduction to bookkeeping and Accounting,Learn the concept of nextjs,1,Beginner,19
161,Learn to Trade The News,Learn the ETL process effectively,46.5,Beginner,10
162,"Value Investing, Taught by Six Superinvestors",Learn the concepts of DataBricks,5,Beginner,7
163,Trading for everyone - The Independent Investor Course I,Learn the process of data Transformation through dbt,4,Beginner,19
164,Get Acquired: Learn From The Head Of Acquisitions For eBay,Learn python for data engineering,2.5,Beginner,13
165,Stock Market investment: Practical Accounting,Learn statistics,3,Beginner,16
166,"How to remove 'Risk from Penny Stocks - Options Trading""",Learn the basics of Node.js,1,Beginner,17
167,Accounting Basics in 66 Minutes (absolutely for beginners),Learn the fundamentals of JavaScript programming.,1.5,Beginner,3
168,"Tax Accounting: Difficult Topic, Made Easy to Understand",Explore advanced CSS for modern web design.,2,Beginner,4
169,Analysis of Company Financial Statements,"Learn the basics of html
",1.5,Beginner,19
170,Forex Trading Like Banks – Step by Step with Live Examples,Learn basics of react,4.5,Beginner,2
171,Fundamentals of Investing!,Learn the concept of nextjs,2,Beginner,10
172,Bank Financial Management A Comprehensive Study,Learn the ETL process effectively,1.5,Beginner,14
173,Learn to Trade Forex and Stocks: From Beginner to Advanced,Learn the concepts of DataBricks,2,Beginner,19
174,"Master 'Technical Analysis and Chart reading skills Bundle""",Learn the process of data Transformation through dbt,3,Beginner,1
175,Naked Put Options Trade Covered Call & Poor Man Covered Call,Learn python for data engineering,1.5,Beginner,2
176,The Ultimate Guide to Dividend & Dividend Growth Investing,Learn statistics,5.5,Beginner,15
177,Charting for Beginners 101: Technical Analysis Demystified,Learn the basics of Node.js,1.5,Beginner,6
178,Build a DCF Valuation Model,Learn the fundamentals of JavaScript programming.,5.5,Beginner,6
179,Introductory Financial Accounting,Explore advanced CSS for modern web design.,10,Beginner,9
180,Introduction to Cryptocurrencies and Blockchain,"Learn the basics of html
",2,Beginner,1
181,Trade Pullback Candlestick Strategy - Make Consistent Pips,Learn basics of react,3,Beginner,6
182,Accounting Standards Basics (Professional Course Level),Learn the concept of nextjs,0.7,Beginner,14
183,Use the Magic Multiple Moving Average Forex Trading system,Learn the ETL process effectively,1,Intermediate,19
184,QuickBooks 2015 Training for Newbies,Learn the concepts of DataBricks,6,Beginner,20
185,TRADING PSYCHOLOGY: Trading Mindset Mastery,Learn the process of data Transformation through dbt,1,Intermediate,8
186,Option Trading: How to Adjust Delta-Neutral Strangles!,Learn python for data engineering,1.5,Beginner,12
187,Profitable binary option trading strategy,Learn statistics,1.5,Beginner,12
188,Tax Strategy: Financial Planning for Beginners,Learn the basics of Node.js,2,Beginner,2
189,Accounting 2 Simplified for You,Learn the fundamentals of JavaScript programming.,5,Beginner,13
190,Project Funding Modelling (for Professionals),Explore advanced CSS for modern web design.,1.5,Beginner,16
191,Investing: How I Consistently Beat The Stock Market,"Learn the basics of html
",4.5,Beginner,14
192,Bookkeeping Basics:  Understand the Fundamentals,Learn basics of react,4.5,Beginner,19
193,Leasing - A Comprehensive Study (Professional Course Level),Learn the concept of nextjs,3.5,Beginner,20
194,Trading Options For Consistent Returns: Options Basics,Learn the ETL process effectively,1.5,Beginner,13
195,TechniTrader Leading Hybrid Indicator Trading,Learn the concepts of DataBricks,1,Intermediate,7
196,Financial modeling: Build a DCF equity valuation model,Learn the process of data Transformation through dbt,1.5,Beginner,20
197,CryptoArbitrager: Bitcoin Trading Robot (no mining),Learn python for data engineering,0.55,Beginner,2
198,Accounting Is Easy (for Beginners),Learn statistics,9,Beginner,15
199,Non Directional Weekly Options Trading System - ETF & Emini,Learn the basics of Node.js,2,Beginner,2
200,The Complete Position Trading Course: Position Trading Stock,Learn the fundamentals of JavaScript programming.,1,Beginner,17
201,Master Iron Condors - Double the credit for half the risk,Explore advanced CSS for modern web design.,1,Advanced,13
202,Basics of investing in Mutual Funds,"Learn the basics of html
",1.5,Intermediate,18
203,A Value Investing Approach to the Stock Market,Learn basics of react,1.5,Beginner,18
204,Learn how to INVEST for huge profits or make it big trading!,Learn the concept of nextjs,5.5,Beginner,13
205,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",Learn the ETL process effectively,6,Intermediate,17
206,Mastering Candlestick Charting : High Probability Trading,Learn the concepts of DataBricks,2,Beginner,8
207,Binary Options Course - Level 2,Learn the process of data Transformation through dbt,2,Intermediate,15
208,Stock Technical Analysis with R,Learn python for data engineering,7,Beginner,15
209,"Get to know the VIX Index (aka 'The Fear Index)""",Learn statistics,1,Beginner,12
210,Apply finance concepts for smart project management,Learn the basics of Node.js,2,Beginner,19
211,Introduction to Futures Trading and Live Trade Demonstration,Learn the fundamentals of JavaScript programming.,0.716666667,Advanced,17
212,Crowdfunding to Win,Explore advanced CSS for modern web design.,1.5,Beginner,3
213,Comprehensive Forex Mastery Program,"Learn the basics of html
",10,Beginner,16
214,Preparation of Consolidated Financial Statements (Basic),Learn basics of react,1.5,Intermediate,12
215,Succeed in Bonds Even if You Don't Know Where to Start,Learn the concept of nextjs,1,Beginner,5
216,Learn to Trade for Profit: Ten Most Profitable Trading Rules,Learn the ETL process effectively,2,Beginner,16
217,Succeed in Lotto Even if You Don't Know Where to Start!,Learn the concepts of DataBricks,1.5,Beginner,15
218,CFA Corporate Finance Level 2,Learn the process of data Transformation through dbt,17.5,Beginner,3
219,Pin Bars: The Most Powerful Forex Trading Signal,Learn python for data engineering,1,Beginner,16
220,Stock Options Trades Using Interactive Brokers,Learn statistics,1,Intermediate,17
221,Introduction to Options - Strategies For Consistent Profits,Learn the basics of Node.js,4.5,Beginner,5
222,Risk in Forex Transactions - for CA / CS / CFA exams,Learn the fundamentals of JavaScript programming.,1,Beginner,11
223,Basics of Business Statistics (College Level),Explore advanced CSS for modern web design.,2,Beginner,1
224,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!","Learn the basics of html
",2,Beginner,7
225,Interpreting Financial Statements,Learn basics of react,1.5,Beginner,18
226,Introduction to Bookkeeping (Accounting),Learn the concept of nextjs,12,Beginner,19
227,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,Learn the ETL process effectively,2,Intermediate,19
228,Investment Banking: How to Land a Job on Wall Street,Learn the concepts of DataBricks,3.5,Beginner,13
229,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,Learn the process of data Transformation through dbt,1,Beginner,14
230,Financial modeling: Build a multiples valuation model,Learn python for data engineering,1.5,Beginner,5
231,Trade Recap I - A Real Look at Futures Options Markets,Learn statistics,1.5,Beginner,9
232,Advanced Stock Options for Serious Equity Investors!,Learn the basics of Node.js,1.5,Advanced,13
233,Trading Binary Options for Fun and Profit,Learn the fundamentals of JavaScript programming.,2,Beginner,20
234,CFA: Fast Track your career in Finance,Explore advanced CSS for modern web design.,2,Beginner,9
235,How to be a Profitable Forex Trader,"Learn the basics of html
",0.683333333,Beginner,5
236,Excel Dashboard - Interactive Excel Dashboard and Charts,Learn basics of react,3,Beginner,4
237,Accounting 101: Learn Business Finance Forecasting in 60mins,Learn the concept of nextjs,1.5,Beginner,14
238,The Securities Trade Lifecycle,Learn the ETL process effectively,4,Beginner,19
239,Double your Forex Account using the MAGIC MA trading robot,Learn the concepts of DataBricks,2.5,Intermediate,6
240,Technical Analysis 101: How to Profit During Market Crashes,Learn the process of data Transformation through dbt,2,Beginner,15
241,Advanced Accounting for Investment Banking,Learn python for data engineering,4,Intermediate,4
242,Investing In Stocks With 10 Simple Rules,Learn statistics,2,Beginner,5
243,Venture Capital. What is it and Why it Matters to You!,Learn the basics of Node.js,2.5,Beginner,14
244,Cash Flow Valuation: Develop Your Financial Literacy,Learn the fundamentals of JavaScript programming.,2,Beginner,4
245,Direction-Independ Trading - Elite Forex Traders  Strategy,Explore advanced CSS for modern web design.,2.5,Beginner,6
246,How to Become a Financial Analyst from Scratch!,"Learn the basics of html
",5,Beginner,19
247,First Steps to Trading the Forexmarkets : Technical Analysis,Learn basics of react,3.5,Beginner,1
248,Financial analysis: Compare performance of companies,Learn the concept of nextjs,1,Beginner,12
249,Forex for Beginners: Easy Forex Trading for Beginners,Learn the ETL process effectively,1,Beginner,4
250,Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),Learn the concepts of DataBricks,0.533333333,Beginner,10
251,Read financial statements like a pro,Learn the process of data Transformation through dbt,4,Intermediate,6
252,10 Numbers Every Business Owner Should Know,Learn python for data engineering,1,Beginner,6
253,Learn How To Trade Gold In 2017,Learn statistics,1,Beginner,4
254,IAS 18 - Revenue,Learn the basics of Node.js,4.5,Beginner,19
255,Forex Trading: The High ROI Forex Trading End of Day Course,Learn the fundamentals of JavaScript programming.,2.5,Intermediate,3
256,Fundraise the Simplified Way: A Crowdfunding Blueprint,Explore advanced CSS for modern web design.,1,Beginner,19
257,Fundamentals of Accounting for Business Owners,"Learn the basics of html
",2.5,Beginner,12
258,Practical Financial Statement Analysis,Learn basics of react,4.5,Beginner,7
259,Forex Management - Detailed Study for CA / CS / CFA Exams,Learn the concept of nextjs,3,Beginner,18
260,Financial Statement Review 101:  How to Find Errors,Learn the ETL process effectively,2,Beginner,17
261,Professional Risk Manager (PRM) Certification: Level 1,Learn the concepts of DataBricks,24,Beginner,2
262,International Tax  - Tax Beyond boundaries,Learn the process of data Transformation through dbt,19.5,Beginner,16
263,The Complete Financial Statement Analysis Course,Learn python for data engineering,3,Beginner,13
264,Advanced Excel functions,Learn statistics,1.5,Beginner,10
265,Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),Learn the basics of Node.js,1.5,Beginner,20
266,Candlestick Analysis For Professional Traders,Learn the fundamentals of JavaScript programming.,2,Advanced,3
267,Build A Career In Forex Trading- Learn Fundamental Analysis,Explore advanced CSS for modern web design.,3.5,Beginner,15
268,Financial Modeling: Build a Complete DCF Valuation Model,"Learn the basics of html
",2.5,Beginner,14
269,Hands-on Financial Modeling (With 6 Excel Templates),Learn basics of react,4,Intermediate,15
270,CAIIB Advanced Bank Management (Part I),Learn the concept of nextjs,20.5,Beginner,5
271,Stock Market investment:Non financial fundamental analysis,Learn the ETL process effectively,3,Beginner,20
272,Learn How to Play CashFlow Game,Learn the concepts of DataBricks,1,Beginner,3
273,Basics of Business Finance,Learn the process of data Transformation through dbt,4,Beginner,5
274,Accounting Made Easy 2,Learn python for data engineering,3,Intermediate,10
275,"Bitcoin: el futuro del dinero, hoy",Learn statistics,3,Intermediate,9
276,Aprende a invertir practicando,Learn the basics of Node.js,2,Beginner,4
277,Trading con retrocesos de Fibonacci,Learn the fundamentals of JavaScript programming.,2.5,Beginner,7
278,Mit Finanzwissen zu besserem Unternehmertum,Explore advanced CSS for modern web design.,3,Beginner,15
279,Como hacer empresa en 10 sesiones prácticas,"Learn the basics of html
",0.5,Intermediate,20
280,المحاسبة للإداريين و غير المحاسبين,Learn basics of react,0.716666667,Beginner,19
281,株式投資で本当のファンダメンタル分析ができるようになる,Learn the concept of nextjs,2,Beginner,2
282,Curso de Trading práctico basado en casos reales,Learn the ETL process effectively,10,Beginner,16
283,Curso Avanzado de Trading,Learn the concepts of DataBricks,20.5,Beginner,11
284,สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,Learn the process of data Transformation through dbt,2,Beginner,14
285,MQL4 Tutorial Golden Goose,Learn python for data engineering,1.5,Beginner,12
286,Análise de Concessão de Crédito,Learn statistics,10.5,Beginner,19
287,Technical Analysis Using Elliott Wave Theory,Learn the basics of Node.js,1,Beginner,2
288,The Basics Of Volume Analysis,Learn the fundamentals of JavaScript programming.,1.5,Beginner,2
289,Crash Course on Cost of Capital and Capital Structuring,Explore advanced CSS for modern web design.,3,Beginner,20
290,Business Accounting Made Easy,"Learn the basics of html
",5.5,Beginner,13
291,Build a DCF Model from Scratch,Learn basics of react,0.516666667,Beginner,15
292,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",Learn the concept of nextjs,1.5,Beginner,2
293,Technical Analysis - A practical approach for trade entry,Learn the ETL process effectively,2,Advanced,4
294,Mastering Technical Analysis : Maximizing Trading Profits,Learn the concepts of DataBricks,5,Beginner,6
295,The Complete Guide to Professional Trading with Elliott Wave,Learn the process of data Transformation through dbt,4.5,Beginner,6
296,A Complete Guide to Becoming a Trader on the Forex Market,Learn python for data engineering,1,Beginner,3
297,Stock Market for Beginners - Complete Starter Toolkit,Learn statistics,6.5,Intermediate,16
298,Beginners Binary Options Course,Learn the basics of Node.js,1.5,Beginner,2
299,Technical Analysis 101: Secrets of Trading Revealed,Learn the fundamentals of JavaScript programming.,2.5,Beginner,12
300,Forex: What's a Trend and When it is Strong and Reliable,Explore advanced CSS for modern web design.,2,Intermediate,2
301,Volatility Trading Analysis with R,"Learn the basics of html
",6,Advanced,4
302,How To Profit From Stock Market Volatility,Learn basics of react,0.6,Beginner,13
303,Awaken the Accountant in You | Master the Accounting Basics,Learn the concept of nextjs,1.5,Beginner,20
304,WE WILL PAY YOU TO TRADE WITH US,Learn the ETL process effectively,2,Beginner,2
